Uke,År,Lokalitetsnummer,Lokalitetsnavn,Sykdom,Status,Fra dato,Til dato,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,UtbruddsId,Subtype,Mistanke-dato,Påvist-dato,Tømt-dato,Avsluttet-dato
8,2021,24937,Nebbo,PD,Mistanke,2021-02-11,2022-03-01,4617,KVINNHERAD,46,Vestland,59.87075,5.725017,3,Karmøy til Sotra,PD2021-14,SAV3,2021-02-11,2021-05-04,2021-07-14,2022-03-01
8,2021,10375,Nord Leksa,PD,Påvist,2020-10-07,2021-07-20,5059,ORKLAND,50,Trøndelag,63.589367,9.409217,6,Nordmøre og Sør-Trøndelag,PD2021-5,SAV2,2020-10-07,2020-10-07,2021-02-15,2021-07-20
8,2021,10791,Nordnes,ILA,Påvist,2020-07-07,2021-07-06,5403,ALTA,54,Troms og Finnmark,70.28637,23.400284,12,Vest-Finnmark,ILA2020-19,HPR_del_ILAV,2020-07-07,2020-07-16,2020-08-04,2021-07-06
8,2021,12110,Nystølen,PD,Påvist,2019-07-19,2022-03-03,4624,BJØRNAFJORDEN,46,Vestland,60.0497,5.794383,3,Karmøy til Sotra,PD2021-79,SAV3,2019-07-19,2019-07-25,2022-01-04,2022-03-03
8,2021,24495,Nystølvågen,PD,Påvist,2021-01-19,2021-11-30,4624,BJØRNAFJORDEN,46,Vestland,60.052334,5.79345,3,Karmøy til Sotra,PD2021-45,SAV3,2021-01-19,2021-01-19,2021-06-03,2021-11-30
8,2021,34537,Nystølvågen II,PD,Påvist,2019-07-19,2022-01-05,4624,BJØRNAFJORDEN,46,Vestland,60.05005,5.794033,3,Karmøy til Sotra,PD2021-80,SAV3,2019-07-19,2019-07-25,2021-10-21,2022-01-05
8,2021,31697,Oksen,PD,Mistanke,2020-05-08,2021-03-19,4626,ØYGARDEN,46,Vestland,60.43418,4.94065,3,Karmøy til Sotra,PD2020-82,SAV3,2020-05-08,,2020-11-08,2021-03-19
8,2021,11908,Oltesvik,ILA,Påvist,2020-07-17,2021-06-30,1122,GJESDAL,11,Rogaland,58.854916,6.124417,2,Ryfylke,ILA2020-20,HPR_del_ILAV,2020-07-17,2020-07-29,2020-08-26,2021-06-30
8,2021,12383,Omsøyholman,PD,Påvist,2020-09-07,2021-05-31,5056,HITRA,50,Trøndelag,63.631966,8.575567,6,Nordmøre og Sør-Trøndelag,PD2020-131,SAV2,2020-09-07,2020-09-16,2021-04-12,2021-05-31
8,2021,19655,Ospeneset,PD,Påvist,2019-11-21,2021-07-15,4631,ALVER,46,Vestland,60.74687,5.268483,4,Nordhordaland til Stadt,PD2019-35,SAV3,2019-11-21,2019-11-27,2020-12-10,2021-07-15
8,2021,11972,Prestholmane,PD,Påvist,2020-06-24,2021-06-22,1103,STAVANGER,11,Rogaland,59.116768,5.8545,2,Ryfylke,PD2020-97,SAV3,2020-06-24,2020-08-28,2021-02-22,2021-06-22
8,2021,11651,Ramsøy S,PD,Påvist,2019-08-19,2021-03-05,4627,ASKØY,46,Vestland,60.432617,5.061917,3,Karmøy til Sotra,PD2019-10,SAV3,2019-08-19,2019-10-04,2020-10-26,2021-03-05
8,2021,12366,Raskjæret,PD,Påvist,2020-02-25,2022-01-03,5014,FRØYA,50,Trøndelag,63.793617,8.854567,6,Nordmøre og Sør-Trøndelag,PD2020-38,SAV2,2020-02-25,2020-03-19,2021-11-01,2022-01-03
8,2021,12406,Rauodden,PD,Påvist,2020-11-11,2022-07-19,5056,HITRA,50,Trøndelag,63.66453,8.884083,6,Nordmøre og Sør-Trøndelag,PD2020-151,SAV2,2020-11-11,2020-12-23,2022-03-01,2022-07-19
8,2021,10086,Rekeviki,PD,Avsluttet,2020-02-20,2021-02-28,4631,ALVER,46,Vestland,60.723415,5.328583,4,Nordhordaland til Stadt,PD2020-11,SAV3,2020-02-20,2020-02-27,2020-10-01,2021-02-28
8,2021,29896,Renndalen,PD,Påvist,2020-07-31,2022-02-23,5055,HEIM,50,Trøndelag,63.176117,8.6172,6,Nordmøre og Sør-Trøndelag,PD2020-120,SAV2,2020-07-31,2020-08-06,2021-11-25,2022-02-23
8,2021,12784,Ringholmen,PD,Mistanke,2020-04-29,2021-06-30,5056,HITRA,50,Trøndelag,63.56,9.41005,6,Nordmøre og Sør-Trøndelag,PD2020-41,SAV2,2020-04-29,,2021-04-12,2021-06-30
8,2021,12209,Rønstad,PD,Mistanke,2021-02-24,2022-03-21,1577,VOLDA,15,Møre og Romsdal,62.135117,6.021433,5,Stadt til Hustadvika,PD2021-16,SAV3,2021-02-24,2021-03-03,2022-01-10,2022-03-21
8,2021,12003,Rossholmen N,ILA,Påvist,2020-11-10,2021-05-04,1103,STAVANGER,11,Rogaland,59.06428,5.722617,2,Ryfylke,ILA2020-28,HPR_del_ILAV,2020-11-10,2020-11-19,2020-12-14,2021-05-04
8,2021,13249,Sagelva,PD,Mistanke,2020-08-25,2021-03-21,1520,ØRSTA,15,Møre og Romsdal,62.33795,6.3815,5,Stadt til Hustadvika,PD2020-125,SAV3,2020-08-25,,2020-11-28,2021-03-21
8,2021,12973,Saltkjelen I,PD,Påvist,2020-06-15,2021-05-22,4622,KVAM,46,Vestland,60.31815,6.183183,3,Karmøy til Sotra,PD2020-10,Unknown,2020-06-15,2020-06-16,2021-01-31,2021-05-22
8,2021,19135,Sandøya III,PD,Påvist,2020-05-20,2021-07-01,5058,ÅFJORD,50,Trøndelag,64.24337,10.263817,6,Nordmøre og Sør-Trøndelag,PD2020-63,SAV2,2020-05-20,2020-06-15,2021-04-02,2021-07-01
8,2021,13243,Sandvika,PD,Påvist,2021-01-25,2022-05-30,1577,VOLDA,15,Møre og Romsdal,62.195667,5.904417,5,Stadt til Hustadvika,PD2021-1,SAV3,2021-01-25,2021-02-03,2022-02-20,2022-05-30
8,2021,19855,Segelråa,PD,Påvist,2020-12-15,2021-12-18,1576,AURE,15,Møre og Romsdal,63.149746,8.12855,6,Nordmøre og Sør-Trøndelag,PD2020-160,SAV2,2020-12-15,2021-01-13,2021-09-19,2021-12-18
8,2021,10398,Seiskjæra,PD,Påvist,2020-09-25,2021-09-28,5058,ÅFJORD,50,Trøndelag,64.09268,10.11655,6,Nordmøre og Sør-Trøndelag,PD2020-138,SAV2,2020-09-25,2020-10-22,2021-08-08,2021-09-28
8,2021,12844,Seterneset,PD,Påvist,2019-09-26,2021-10-01,1506,MOLDE,15,Møre og Romsdal,62.67393,7.31415,5,Stadt til Hustadvika,PD2019-19,SAV2,2019-09-26,2019-12-09,2021-07-30,2021-10-01
8,2021,39577,Silda,PD,Påvist,2020-10-20,2021-07-21,4602,KINN,46,Vestland,62.015816,5.2099,4,Nordhordaland til Stadt,PD2020-145,SAV3,2020-10-20,2020-10-29,2021-04-03,2021-07-21
8,2021,22315,Skavhella,PD,Påvist,2020-04-23,2021-04-08,4624,BJØRNAFJORDEN,46,Vestland,60.218933,5.5593,3,Karmøy til Sotra,PD2020-69,SAV3,2020-04-23,2020-05-03,2021-01-28,2021-04-08
8,2021,12192,Skorva,PD,Mistanke,2020-07-14,2021-06-25,4645,ASKVOLL,46,Vestland,61.467117,5.3136,4,Nordhordaland til Stadt,PD2020-115,SAV3,2020-07-14,,2021-01-05,2021-06-25
8,2021,23695,Skotungneset,PD,Påvist,2020-04-24,2021-05-05,1525,STRANDA,15,Møre og Romsdal,62.34895,6.910767,5,Stadt til Hustadvika,PD2020-71,SAV3,2020-04-24,2020-05-11,2021-02-25,2021-05-05
8,2021,20815,Slettvika,PD,Mistanke,2020-05-05,2021-11-02,1520,ØRSTA,15,Møre og Romsdal,62.334,6.157667,5,Stadt til Hustadvika,PD2020-67,SAV3,2020-05-05,,2021-08-02,2021-11-02
8,2021,23375,Sørevik,PD,Mistanke,2021-02-04,2021-06-25,4638,HØYANGER,46,Vestland,61.099983,5.729967,4,Nordhordaland til Stadt,PD2021-8,SAV3,2021-02-04,2021-03-11,2021-04-11,2021-06-25
8,2021,11971,Store Teistholmen Ø,PD,Påvist,2020-09-17,2021-05-31,1108,SANDNES,11,Rogaland,58.977768,5.867,2,Ryfylke,PD2020-134,SAV3,2020-09-17,2020-09-24,2021-03-28,2021-05-31
8,2021,13568,Storevik,PD,Påvist,2020-09-14,2021-10-22,4645,ASKVOLL,46,Vestland,61.47627,5.285,4,Nordhordaland til Stadt,PD2020-133,SAV3,2020-09-14,2020-09-22,2021-06-07,2021-10-22
8,2021,11492,Storevikholmen,PD,Mistanke,2020-11-02,2021-05-12,4615,FITJAR,46,Vestland,59.83808,5.30565,3,Karmøy til Sotra,PD2020-149,SAV3,2020-11-02,,2021-01-17,2021-05-12
8,2021,12081,Straumneset,PD,Påvist,2021-02-02,2022-01-17,4618,ULLENSVANG,46,Vestland,60.221333,6.140133,3,Karmøy til Sotra,PD2021-6,SAV3,2021-02-02,2021-02-16,2021-07-31,2022-01-17
8,2021,11552,Stuholmen,PD,Påvist,2020-06-08,2021-07-14,4626,ØYGARDEN,46,Vestland,60.249516,4.978467,3,Karmøy til Sotra,PD2020-3,SAV3,2020-06-08,2020-06-17,2020-06-29,2021-07-14
8,2021,11776,Sveholmane,PD,Påvist,2020-04-17,2021-10-22,4602,KINN,46,Vestland,61.557716,5.215333,4,Nordhordaland til Stadt,PD2020-25,SAV3,2020-04-17,2020-05-18,2021-04-06,2021-10-22
8,2021,13644,Tepstad,PD,Påvist,2020-09-14,2021-12-19,4630,OSTERØY,46,Vestland,60.553032,5.385317,4,Nordhordaland til Stadt,PD2020-132,SAV3,2020-09-14,2021-01-29,2021-09-05,2021-12-19
8,2021,10054,Tobbeholmane,PD,Påvist,2020-06-29,2021-08-31,4625,AUSTEVOLL,46,Vestland,60.02432,5.30815,3,Karmøy til Sotra,PD2020-105,SAV3,2020-06-29,2020-07-08,2021-06-10,2021-08-31
8,2021,33677,Torvund,PD,Påvist,2020-09-08,2021-03-25,4638,HØYANGER,46,Vestland,61.14467,5.656367,4,Nordhordaland til Stadt,PD2020-130,SAV3,2020-09-08,2020-09-16,2020-12-16,2021-03-25
8,2021,14018,Toska S,PD,Påvist,2020-04-27,2021-08-25,4631,ALVER,46,Vestland,60.63325,4.997617,4,Nordhordaland til Stadt,PD2020-57,SAV3,2020-04-27,2020-05-07,2020-06-24,2021-08-25
